commodity,timestamp,open,high,low,close
XAU/USD,2025-10-14 04:30:00,4121.71,4121.71,4115.09,4116.06
XAU/USD,2025-10-14 04:45:00,4116.06,4116.48,4110.72,4112.28
XAU/USD,2025-10-14 05:00:00,4112.29,4112.29,4108.61,4109.0
XAU/USD,2025-10-14 05:15:00,4109.32,4115.17,4109.32,4112.99
XAU/USD,2025-10-14 05:30:00,4112.99,4115.43,4110.07,4111.1
XAU/USD,2025-10-14 05:45:00,4111.1,4113.28,4108.67,4110.64
XAU/USD,2025-10-14 06:00:00,4111.12,4111.95,4101.58,4107.84
XAU/USD,2025-10-14 06:15:00,4107.84,4117.21,4107.13,4115.4
XAU/USD,2025-10-14 06:30:00,4115.4,4116.54,4110.38,4112.67
XAU/USD,2025-10-14 06:45:00,4112.68,4124.06,4112.47,4124.0
XAU/USD,2025-10-14 07:00:00,4124.0,4124.23,4117.58,4120.38
XAU/USD,2025-10-14 07:15:00,4120.39,4122.51,4116.6,4122.47
XAU/USD,2025-10-14 07:30:00,4122.47,4122.47,4117.77,4119.0
XAU/USD,2025-10-14 07:45:00,4119.0,4123.62,4118.99,4121.65
XAU/USD,2025-10-14 08:00:00,4121.58,4123.19,4121.33,4121.36
XAU/USD,2025-10-14 08:15:00,4121.36,4123.54,4120.26,4123.11
XAU/USD,2025-10-14 08:30:00,4123.11,4123.65,4122.75,4123.06
XAU/USD,2025-10-14 08:45:00,4123.06,4123.7,4122.22,4122.78
XAU/USD,2025-10-14 09:00:00,4122.78,4123.65,4122.19,4122.9
XAU/USD,2025-10-14 09:15:00,4122.9,4123.36,4118.48,4118.86
XAU/USD,2025-10-14 09:30:00,4118.86,4118.86,4115.26,4118.12
XAU/USD,2025-10-14 09:45:00,4118.12,4126.01,4118.12,4125.01
XAU/USD,2025-10-14 10:00:00,4125.01,4125.5,4120.99,4123.63
XAU/USD,2025-10-14 10:15:00,4123.62,4125.91,4123.52,4125.21
XAU/USD,2025-10-14 10:30:00,4125.21,4139.92,4125.21,4137.92
XAU/USD,2025-10-14 10:45:00,4137.8,4142.3,4137.04,4141.69
XAU/USD,2025-10-14 11:00:00,4141.69,4144.47,4133.53,4137.2
XAU/USD,2025-10-14 11:15:00,4137.2,4140.08,4133.47,4139.96
XAU/USD,2025-10-14 11:30:00,4139.96,4145.05,4139.23,4142.96
XAU/USD,2025-10-14 11:45:00,4142.97,4143.46,4140.01,4140.01
XAU/USD,2025-10-14 12:00:00,4140.0,4154.0,4138.32,4153.94
XAU/USD,2025-10-14 12:15:00,4154.0,4164.61,4154.0,4162.78
XAU/USD,2025-10-14 12:30:00,4162.78,4166.0,4149.81,4155.91
XAU/USD,2025-10-14 12:45:00,4155.91,4155.91,4147.13,4153.59
XAU/USD,2025-10-14 13:00:00,4153.51,4157.83,4153.51,4157.28
XAU/USD,2025-10-14 13:15:00,4157.29,4158.71,4154.0,4158.64
XAU/USD,2025-10-14 13:30:00,4158.64,4166.0,4158.51,4165.03
XAU/USD,2025-10-14 13:45:00,4165.04,4166.0,4160.31,4162.84
XAU/USD,2025-10-14 14:00:00,4162.85,4176.0,4162.09,4171.49
XAU/USD,2025-10-14 14:15:00,4171.49,4175.88,4167.53,4173.23
XAU/USD,2025-10-14 14:30:00,4173.23,4180.0,4172.93,4178.22
